,id,stationName,x,y,geometry
952,SN227180,Jörn D,20.1072,65.0971,POINT (20.1072 65.0971)
954,SN19428,Høvik ,10.5777,59.8925,POINT (10.5777 59.8925)
956,SN40,Fv21 Krokstad,11.82,59.89317,POINT (11.82 59.89317)
957,SN28750,Flesberg,9.3995,59.8685,POINT (9.3995 59.8685)
958,SN30275,Stalsberg ,9.635,59.1988,POINT (9.635 59.1988)
959,SN1172300,,16.6888888888889,49.1530555555556,POINT (16.6888888888889 49.1530555555556)
960,SN79764,Dunderlandsdalen,14.954,66.4993,POINT (14.954 66.4993)
961,SN16620,E6 Avsjøen,9.47517,62.18067,POINT (9.47517 62.18067)
962,SN69150,Kvithamar,10.8796051,63.488132,POINT (10.8796051 63.488132)
963,SN228490,Holmön D,20.8606,63.7918,POINT (20.8606 63.7918)
964,SN266100,Kosta,15.4722222222222,56.845,POINT (15.4722222222222 56.845)
965,SN64700,Innerdalen,8.7754074,62.721888,POINT (8.7754074 62.721888)
966,SN15660,Skjåk (Austin),8.1706,61.9013,POINT (8.1706 61.9013)
967,SN716800,,4.02,48.3247222222222,POINT (4.02 48.3247222222222)
968,SN85380,Skrova fyr,14.6485,68.1535,POINT (14.6485 68.1535)
969,SN76480,Vevelstad,12.4349501,65.6950478,POINT (12.4349501 65.6950478)
970,SN1523000,,22.8988888888889,45.865,POINT (22.8988888888889 45.865)
971,SN76920,Ekofisk,3.2243,56.5433,POINT (3.2243 56.5433)
972,SN9380,Snøheim,9.352,62.2958,POINT (9.352 62.2958)
973,SN68863,Trondheim - Voll PLU,10.4535,63.4107,POINT (10.4535 63.4107)
974,SN53010,Rv13 Vikafjell,6.5009,60.96883,POINT (6.5009 60.96883)
975,SN215400,Vidsel,20.1541666666667,65.8677777777778,POINT (20.1541666666667 65.8677777777778)
976,SN1049000,,13.5747222222222,51.645,POINT (13.5747222222222 51.645)
977,SN92845,Davatluft,22.87642,70.24555,POINT (22.87642 70.24555)
978,SN325700,,-1.53305555555556,54.2969444444444,POINT (-1.53305555555556 54.2969444444444)
979,SN85470,Kongsmarka,14.4793,68.2417,POINT (14.4793 68.2417)
981,SN50480,Sandsli,5.2777,60.2913,POINT (5.2777 60.2913)
982,SN91490,E8 Bossovárri,20.7455,69.1185,POINT (20.7455 69.1185)
983,SN49080,Øvre Krossdalen,6.3866367,60.2802886,POINT (6.3866367 60.2802886)
